folio_integrante;edad;ponderador;grupo;resultado_general_entrevista;region_Centro;region_Centro Norte;region_Frontera;region_Pacifico-Norte;region_Pacífico Sur;region_Pacífico-Centro;region_Península;sexo_Mujer;estrato_Rural  ( <2500 Hab );estrato_Urbano ( 2500-99,999 Hab)
2022_09005036_02;32;198637.726607022;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09005065_04;28;200192.608908984;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09005070_01;40;677088.057589841;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
2022_09005084_02;36;191331.108271494;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09006004_01;73;50293.6186338733;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09006008_04;20;249232.496687464;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
2022_09006034_01;71;56353.0597319533;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007016_02;44;196429.589944529;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007018_01;69;114696.978902426;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007028_01;73;85956.3586103248;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007059_02;52;234011.929490339;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007069_02;16;285140.751908339;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
2022_09007098_03;28;123009.654934141;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007106_02;82;87330.4583522919;Adolescentes y Adultos;0;False;False;False;False;False;False;False;True;False;False
2022_09007126_03;52;132472.734048699;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007139_01;52;57065.8116325485;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007139_03;31;141396.215812332;Adolescentes y Adultos;0;False;False;False;False;False;False;False;False;False;False
2022_09007139_04;19;131440.540072846;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007149_02;29;206553.712243578;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007160_03;41;89982.8476463739;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007176_01;66;77603.2328519546;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007193_03;22;309399.130549538;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
2022_09007230_02;66;32274.8013172867;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09007238_01;56;30569.3815896551;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09010025_03;56;114053.522315151;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09010032_02;79;343561.417388075;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
2022_09010035_02;82;66874.675314818;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09012016_01;64;131180.154063869;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09013002_01;60;646138.372601341;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
2022_09015022_02;49;378023.930908198;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09016030_03;15;279226.706861655;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
2022_09017007_04;18;363138.245855268;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09017020_02;32;292394.329378673;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09017028_03;55;180524.704957131;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09017037_06;24;430025.719045248;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_10005002_01;70;14588.2747080563;Adolescentes y Adultos;0;False;True;False;False;False;False;False;True;False;False
2022_10005004_04;18;24482.2266365985;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;False
2022_10005019_01;34;67762.2780349697;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;False
2022_10005029_02;71;24831.1058860533;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_10005044_01;62;11882.313105383;Adolescentes y Adultos;0;False;True;False;False;False;False;False;True;False;False
2022_10005054_02;56;40632.2116756286;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_10007016_02;36;43694.8393661049;Adolescentes y Adultos;0;False;True;False;False;False;False;False;True;False;False
